"fip_index","fip_title","community","c","question","q","sort","nochoice","resource","res","reslabel","rel","resourcetype","startdate","enddate","date"
"http://purl.org/np/RAMzQ3NE2WVsKySYmCxIYJBMk-KwEBSRuohkODf0TiHMc","ACTRIS_ARES_FIP_2021","http://purl.org/np/RA39E3Dj61wCQkWCkK707UWBEBvRj2-hUDH5V5BicUgrg#ACTRIS-ARES","ACTRIS-ARES","https://w3id.org/fair/fip/terms/FIP-Question-F1-MD","F1-MD","01-0Dx","","http://purl.org/np/RAvSpggcYeB-tEfjF6SwIkM3R6LmxuOvK4FqJqIDIkxt0#Handle_System","Handle_System","Handle System","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2021-01-01,2021-12-31,2022-07-20T08:32:31Z
"http://purl.org/np/RAMzQ3NE2WVsKySYmCxIYJBMk-KwEBSRuohkODf0TiHMc","ACTRIS_ARES_FIP_2021","http://purl.org/np/RA39E3Dj61wCQkWCkK707UWBEBvRj2-hUDH5V5BicUgrg#ACTRIS-ARES","ACTRIS-ARES","https://w3id.org/fair/fip/terms/FIP-Question-F1-MD","F1-MD","01-0Dx","","http://purl.org/np/RAnAWGdeI_1GGmDAqv-vZjby5XqbL2ZujNz1vgwK_6cRI#DOI","DOI","DOI | Digital Object Identifier","https://w3id.org/fair/fip/terms/declares-planned-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2021-01-01,2021-12-31,2022-07-20T08:32:31Z
"http://purl.org/np/RAMzQ3NE2WVsKySYmCxIYJBMk-KwEBSRuohkODf0TiHMc","ACTRIS_ARES_FIP_2021","http://purl.org/np/RA39E3Dj61wCQkWCkK707UWBEBvRj2-hUDH5V5BicUgrg#ACTRIS-ARES","ACTRIS-ARES","https://w3id.org/fair/fip/terms/FIP-Question-F1-MD","F1-MD","01-0Dx","","http://purl.org/np/RA1MzU1MPio-mtLzm1P7zfTBSMnTNc2I8HLNARhPjpif8#ORCID","ORCID",,"https://w3id.org/fair/fip/terms/declares-planned-use-of",,2021-01-01,2021-12-31,2022-07-20T08:32:31Z
"http://purl.org/np/RAz9hULqCDE_JaT6IkHCKifKG2zTgl77aTd9HeMYfiMLA","ACTRIS-ASC_FIP_2020","http://purl.org/np/RANS1FDYGKYE6IzIP6QuofHtLpvPfGQsCw1gyBmR_n9Ls#ACTRIS-ASC","ACTRIS-ASC","https://w3id.org/fair/fip/terms/FIP-Question-F1-MD","F1-MD","01-0Dx","","http://purl.org/np/RA5ikgqnKqn071dwzXFdiXlnM8hWZRdFKsQjC_e5YRkEw#UUID","UUID","UUID | Universally Unique Identifier","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2020-01-01,2020-12-31,2022-07-20T14:09:18Z
"http://purl.org/np/RAz9hULqCDE_JaT6IkHCKifKG2zTgl77aTd9HeMYfiMLA","ACTRIS-ASC_FIP_2020","http://purl.org/np/RANS1FDYGKYE6IzIP6QuofHtLpvPfGQsCw1gyBmR_n9Ls#ACTRIS-ASC","ACTRIS-ASC","https://w3id.org/fair/fip/terms/FIP-Question-F1-MD","F1-MD","01-0Dx","","http://purl.org/np/RAnAWGdeI_1GGmDAqv-vZjby5XqbL2ZujNz1vgwK_6cRI#DOI","DOI","DOI | Digital Object Identifier","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2020-01-01,2020-12-31,2022-07-20T14:09:18Z
"http://purl.org/np/RAeVz3GLUR0U-U9nCOJM6fXd_pGKFO1qfFhnKGplQo0BU","ACTRIS-ASC_FIP_2021","http://purl.org/np/RANS1FDYGKYE6IzIP6QuofHtLpvPfGQsCw1gyBmR_n9Ls#ACTRIS-ASC","ACTRIS-ASC","https://w3id.org/fair/fip/terms/FIP-Question-F1-MD","F1-MD","01-0Dx","","http://purl.org/np/RA5ikgqnKqn071dwzXFdiXlnM8hWZRdFKsQjC_e5YRkEw#UUID","UUID","UUID | Universally Unique Identifier","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2021-01-01,2021-12-31,2022-07-20T14:10:53Z
"http://purl.org/np/RAeVz3GLUR0U-U9nCOJM6fXd_pGKFO1qfFhnKGplQo0BU","ACTRIS-ASC_FIP_2021","http://purl.org/np/RANS1FDYGKYE6IzIP6QuofHtLpvPfGQsCw1gyBmR_n9Ls#ACTRIS-ASC","ACTRIS-ASC","https://w3id.org/fair/fip/terms/FIP-Question-F1-MD","F1-MD","01-0Dx","","http://purl.org/np/RAnAWGdeI_1GGmDAqv-vZjby5XqbL2ZujNz1vgwK_6cRI#DOI","DOI","DOI | Digital Object Identifier","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2021-01-01,2021-12-31,2022-07-20T14:10:53Z
"http://purl.org/np/RA1EHgdabMpUKXkAaSI-PQuGDaV8OjID3h8RCEVD0Xva0","ACTRIS-ASC_FIP_2019","http://purl.org/np/RANS1FDYGKYE6IzIP6QuofHtLpvPfGQsCw1gyBmR_n9Ls#ACTRIS-ASC","ACTRIS-ASC","https://w3id.org/fair/fip/terms/FIP-Question-F1-MD","F1-MD","01-0Dx","","http://purl.org/np/RA5ikgqnKqn071dwzXFdiXlnM8hWZRdFKsQjC_e5YRkEw#UUID","UUID","UUID | Universally Unique Identifier","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2019-01-01,2019-12-31,2022-07-20T14:12:01Z
"http://purl.org/np/RA1EHgdabMpUKXkAaSI-PQuGDaV8OjID3h8RCEVD0Xva0","ACTRIS-ASC_FIP_2019","http://purl.org/np/RANS1FDYGKYE6IzIP6QuofHtLpvPfGQsCw1gyBmR_n9Ls#ACTRIS-ASC","ACTRIS-ASC","https://w3id.org/fair/fip/terms/FIP-Question-F1-MD","F1-MD","01-0Dx","","http://purl.org/np/RAnAWGdeI_1GGmDAqv-vZjby5XqbL2ZujNz1vgwK_6cRI#DOI","DOI","DOI | Digital Object Identifier","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2019-01-01,2019-12-31,2022-07-20T14:12:01Z
"http://purl.org/np/RA6GIqrDtR-lYuTpRVSUTSpgPRWL8rSLAybO2bNrZ-9Bg","ACTRIS_CLU_FIP_2021","http://purl.org/np/RAhtZUfiw2puxceEOXsLhh1eIlFWYvB_j0APDSxt_1Ypk#ACTRIS_CLU","ACTRIS_CLU","https://w3id.org/fair/fip/terms/FIP-Question-F1-MD","F1-MD","01-0Dx","","http://purl.org/np/RAvSpggcYeB-tEfjF6SwIkM3R6LmxuOvK4FqJqIDIkxt0#Handle_System","Handle_System","Handle System","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2021-01-01,2021-12-31,2022-07-20T08:31:21Z
